Immagine;Didascalia;Denominazione;Localita;Indirizzo;Civico;Comune;Telefono;Email;SitoWeb;Categoria;Categoria Secondaria;Latitudine;Longitudine;orario;noteorario;Ingresso
;;Casa Rossini;;via Rossini;34;PESARO;"0721 387357; infoline 199 151 123";casarossini@comune.pesaro.pu.it;"www.museicivicipesaro.it; www.pesarocultura.it";Specializzato;;43.9108;12.9141;Giugno-settembre: mart. giov. ven. sab. dom. 10-13, 16-19.30, merc. 10-13. Ottobre-maggio: mart. merc. giov. 10-13, ven. sab. dom. 10-13, 15.30-19. Luned� chiuso.;Dal 10 al 23 agosto durante il Rossini Opera Festival, Casa Rossini sar� sempre aperta (anche il luned�) aggiungendo al consueto orario l'apertura serale dalle 21 alle 23.;"Intero: 4 ?; ridotto: 2 ?; gratuito: fino a 14 anni e ogni terza domenica del mese"
;;Centro Culturale San Francesco - Raccolta civica di Arte Contemporanea;Ex convento San Francesco;corso Mazzini;64;ARCEVIA;0731 984561;info@arceviaweb.it;http://www.arceviaweb.it;Arte;Specializzato;43.5001;12.9406;"luned� 9-13; da marted� a venerd� 9-13/15-19; sabato e domenica 10.30-12.30/15.30-18.30.";Aperto su richiesta fuori dagli orari prestabiliti.;
;;Centro di documentazione archeologica di Novilara;Novilara;Via delle scuole nuove;18;PESARO;;;;Archeologia;;43.8597;12.9309;;;
;;Centro per l?arte contemporanea ?Il Conventino?;;via Conventino;3;MONTECICCARDO;0721/910586;comune.monteciccardo@provincia.ps.it;http://www.comune.monteciccardo.pu.it;Arte;;43.8157;12.8052;aperto su richiesta;;ingresso gratuito
;;"Chiesa del ""Nome di Dio""";;via Petrucci;21;PESARO;"0721.371219 (Museo Dioces.); 0721.68095 (Diocesi)";museo@arcidiocesipesaro.it;www.pesarocultura.it;Arte;;43.9111;12.9103;Dal 1 giugno al 15 settembre: da marted� a domenica 16-19, Chiuso luned�, 1 gennaio, 15 agosto, 16-30 settembre eccetto il 24, 25-26 e 31 dicembre.;"Apert.straord.:1 nov,8 dic,6 gen,Pasqua e lun, 25 apr,2 giu,settim cult, giorn FAI:16-19, ogni 3 dom (no ag):9.30-12.30,16-19, lug.16-22; ROF 9.30-12.30,16-19; 24 sett:15.30-19.30 gratis.";Intero: 3? (cumulativo con Museo Diocesano, cfr. tariffe)
;;Cisterne Romane;;Via degli Aceti;;FERMO;0734.217140;museidifermo@comune.fermo.it;http://www.fermomusei.it;Archeologia;;43.1611;13.7193;Settembre-maggio: da marted� a venerd� visite guidate ore 10.30, 11.30, 12.30, 16, 17. Sabato e domenica visite guidate ore:10.30, 11.30, 12.30, 16, 17, 18. Chiuso luned�. Luglio-agosto: tutti i giorni visite guidate: 10.30, 11.30, 12.30, 16.30, 17.30, 18;Biglietto di Rete Civica (7 gg.): accesso a Polo Mus. Pal. Priori, Musei Villa Vitali, Museo Dioces., Cattedrale, Oratorio S. Monica, riduz. musei S. Elpidio a Mare, sconti in esercizi convenzionati.;Biglietto di Rete Civica: intero 7,50?, ridotto 4,50?. Biglietto singolo (ingresso e visita guidata): intero 3?, ridotto (6-14 anni, over 65, gruppi superiori a 15) 2?.
;;"Civica Raccolta d'Arte ""B. Biancolini""";Convento San Francesco;Via Trento;7;POTENZA PICENA;0733679260;cultura@comune.potenza-picena.mc.it;http://comune.potenza-picena.mc.it;Arte;;43.3675;13.6207;MUSEO CHIUSO;MUSEO CHIUSO;Ingresso gratuito
;;Civica Raccolta di Palazzo Fossa Mancini;Palazzo Fossa Mancini;Piazza Mazzini;1;CASTELPLANIO;0731-813401;"comune@comune.castelplanio.an.it;anagrafe@comune.castelplanio.an.it";http://www.comune.castelplanio.an.it  www.musan.it;Arte;;43.4945;13.0809;"ven lun pas 15-19; fino 30 06 e 1 09 -31 12 dom 10.3-12.3-15.3 18.3; 1 07 -31 08 ven sab dom 17-20";;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;"""Collezione""A. Maggiori"":  Disegni dal '500 al '700";Palazzo dei Priori;via Garibaldi;1;MONTE SAN GIUSTO;0733/839000;centromaggiori@montesangiusto.sinp.net;www.montesangiusto.org;Arte;;43.2366;13.5952;"feriali 9-13; festivi 9-13 \ 14-18";Il museo rimane aperto anche in giorni prestabiliti durante le festivit� (Natale e Pasqua).;Ingresso gratuito
;;Collezione Leonardo Castellani;;Piazza della Repubblica;13;URBINO;0722.309266 - 0722.309602 - 0721.309601;turismo.urbino@comune.urbino.ps.it;www.comune.urbino.ps.it;Arte;;43.7263;12.6365;Apertura in occasione di eventi e su prenotazione dalle 9.00 alle 12.00 e dalle 15.00 alle 18.00;;gratuito
;;Deposito Archeologico Comunale;Castel di Lama;Via Largo Petrarca;158;CASTEL DI LAMA;0736/812456;;;Archeologia;;43.3332;13.1671;Settimane alterne:( lun. al sab.), 10.00-13.00. Sett. succ. (lu. me.Ve.)10.00-13.00 pm. 16.00-19.00;;
;;Deposito ?Diotallevi di Angeluccio?;;Via Roma;;FIUMINATA;0737.54128 - 0737.54122;tecnico@fiuminata.sinp.net;www.sistemamuseale-mc.it;Arte;;43.1885;12.9317;Apertura su richiesta;;
;;Ecomuseo del cervo;;via Parco della Rimembranza;;CASTELSANTANGELO SUL NERA;0737.98152 - 339.3210083 (per prenotazioni);"info@castelsantangelo.sibillini.net; ragioneria@castelsantangelo.sinp.net";www.sibillini.net;Storia naturale e scienze naturali;;42.8946;13.1554;"aperto  luglio e agosto 9.30-12.30 e 15.30-18.30; da settembre a giugno, luned�, gioved� e venerd� 9.30-12.30, sabato e domenica 9.30-12.30 e 15.30-18.30";;Ingresso a pagamento
;;Ecomuseo della Valle dell'Aso;c/o Unione Comuni Valdaso;Piane di Moresco;65;MORESCO;0735 594620;antonella.nonnis@progettozenone.it;http://www.ecomuseodellavalledellaso.it;Etnografia e antropologia;Territoriale;43.086;13.73;;;
;;El paternal mio nido ? Centro di documentazione Giovanni Santi;Colbordolo;Via Roma;13;COLBORDOLO;0721-496201;biblio.colbordolo@provincia.ps.it;http://www.comune.colbordolo.pu.it/;Arte;;43.8205;12.7216;;;gratuito
;;Esposizione Archeologica Permanente;Palazzo Comunale Fiastra;Via Roma;1;FIASTRA;0737/52112;comune@fiastra.sinp.net;http://www.fiastra.sinp.net;Archeologia;;43.0359;13.1559;apertura su richiesta;;Ingresso gratuito
;;Esposizione Archeologica Permanente;Palazzo Comunale Fiastra;Via Roma;1;FIASTRA;0737/52112;comune@fiastra.sinp.net;http://www.fiastra.sinp.net;Archeologia;;43.0359;13.1559;apertura su richiesta;;Ingresso gratuito
;;"Gabinetto Geologico e Botanico ""Raffaele Piccinini  - Raccolta di fossili ?R. Piccinini?";Biblioteca Comunale Bruto Enrico Giuppi;Piazza Garibaldi;16;PERGOLA;0721/778786;;;Storia naturale e scienze naturali;Territoriale;43.5644;12.8344;MUSEO CHIUSO;MUSEO CHIUSO;Chiuso - in allestimento
;;Galleria Comunale d?Arte Moderna - Collezione Filippo Bigioli;Palazzo Comunale;Piazza del Popolo;45;SAN SEVERINO MARCHE;07336411;info@comune.sanseverinomarche.mc.it;http://www.comune.sanseverinomarche.mc.it;Arte;Territoriale;43.2289;13.1771;aperto tutti i giorni su richiesta dalle 09.00 alle 19.00;;
;;"Galleria ""G. Cingolani""";Palazzo dei Priori;Via G. Rossini;5;MONTECASSIANO;0733.299811;ufficio.segreteria@comune.montecassiano.mc.it;www.comune.mondolfo.pu.it;Arte;;43.3639;13.4359;;;
;;Grande Museo;Loggiato San Francesco;via Cesare Battisti;1;FABRIANO;0732 5726;palombi3@aliceposta;http://www.piazzalta.it;Specializzato;;43.3365;12.9064;Aperto domenica e giorni festivi dalle 16.30 alle 20.00;;Ingresso gratuito
;;I Muri. Esposizione permanente del Maestro Oscar Piattella;Ex Convento Chiesa di Sant'Agostino;Via IV Novembre;22;CANTIANO;"0721/789934; 0721/789936";"info@museo-cantiano.it; museocantiano@comune.cantiano.pu.it";http://www.comunecantiano.eu/OscarPiattella/OscarPiattella5.htm;Arte;;43.4727;12.6284;Tranne il mese di agosto, domenica e festivi:15.00/18.00, agosto tutti i giorni: 16.00/19.00;"E' possibile effettuare visite guidate con la presenza del Maestro; e-mail info@oscarpiattella.it; www.oscarpiattella.it";Gratuito
;;"Laboratori Didattici ""Museo Aldo Sergiacomi""";;Via Ischia;24;OFFIDA;338.4240410;laboratori@lavoroperlapersona.it;www.museosergiacomi.it/index.htm;Arte;;42.9351;13.6923;Aperto su richiesta;;Ingresso gratuito
;;Lapidario;Palazzo Arringo;Piazza Arringo;7;ASCOLI PICENO;0736/298282;musei.civici@comune.ascolipiceno.it;http://www.ascolimusei.it;Archeologia;Arte;42.8535;13.5779;"mart-giov 10/13; merc-ven 15/18; sab-dom (festivi e prefestivi) 10-19. Chiuso luned�.";;"prezzo intero: 4 ?; prezzo ridotto: 2 ?"
;;MIC - Museo dell'Illustrazione Comica;Kursaal;P.zza Kursaal;snc;GROTTAMMARE;0735/736483;cultura@comune.grottammare.ap.it;http://www.comune.grottammare.ap.it;Arte;;42.9914;13.8711;"da sett a giu  sab dom ore 16-19; lug e ago da mar a dom ore  21.30-23.30, ven sab e dom anche18-20";;
;;Morbidelli Museo;Zona industriale;Via Fermo;39;PESARO;0721.24307;info@museomorbidelli.it;http://www.museomorbidelli.it;Specializzato;;43.9026;12.8881;"1 gennaio- 31 maggio: sabato ore 15-19; 1 giugno - 30 settembre: marted� 9.30-12.30, sabato 15-19; 1 ottobre - 31 dicembre: sabato 15-19";Sono previste visite su richiesta.;"Intero: 10 ?; ridotto (gruppi scolastici, under 14): 5 ?"
;;Mostra permanente delle attrezzature per il Vino Cotto;Loro Piceno, Chiostro di San Francesco;Piazza San Francesco;2;LORO PICENO;0733.509112;comune@loropiceno.sinp.net;http://www.loropiceno.sinp.net;Etnografia e antropologia;;43.1671;13.4153;"Giugno aperto il Sabato e Domenica dalle 10.00 alle 13.00 e dalle 16.00 alle 19.00; Luglio aperto il Venerd� dalle 16.00 alle 19.00 e il Sabato e Domenica dalle 10.00 alle 13.00 e dalle 16.00 alle 19.00; Agosto aperto il Venerd�, Sabato e Domenica dalle 1";;"prezzo intero: 2,5 ?; prezzo ridotto: 1,5 ?"
;;Mostra permanente di cimeli della seconda guerra mondiale e Memoriale della Battaglia di Filottrano;;vicolo Beltrami;2;FILOTTRANO;071 72278211;museidascoprire@libero.it;http://www.musan.it;Storia;;43.4356;13.3506;Aperto su prenotazione al numero 071.222576 (Giovanni Santarelli curatore dell?esposizione), o al numero 071.72278211 (Comune di Filottrano);;
;;Mostra permanente ?Filippo Marchetti?;Palazzo Comunale;via Luigi Maurizi;24;BOLOGNOLA;0737/520225;comune@bolognola.sinp.net;http://www.bolognola.sinp.net;Specializzato;;42.9933;13.2288;Su richiesta: dal lun.al sab.,dalle 8.30 alle13.00,domenica e festivi chiuso.;Su richiesta durante gli orari di apertura degli Uffici Comunali.;Ingresso gratuito
;;MuSa Museo Storico Ambientale marchigiano;;Via Castello San Giorgio;5;SAN GIORGIO DI PESARO;0721.970027 - 0721.970102 (Comune);comune.san-giorgio@provincia.ps.it;www.vallediculture.it;Etnografia e antropologia;;43.7167;12.9753;aperto Sabato, Domenica e festivi da Aprile a Settembre dalle 16.00 alle 19.00, da Ottobre a Marzo dalle 15.00 alle 18.00Apertura su prenotazioni per gruppi;;Ingresso a pagamento
;;Musei Civici di Pioraco;Palazzo Comunale;Largo Giacomo Leopardi;1;PIORACO;0737.42485 - 0737.42142;;www.comune.pioraco.mc.it;Storia naturale e scienze naturali;;43.1788;12.9846;"Prefestivi dalle 15.30 alle 18.00; Festivi dalle 10.30 alle 12.00 e dalle 15.30 alle 18.00";;Ingresso a pagamento
;;Musei Civici - Pinacoteca ? Museo Archeologico ? Museo ?L?Acqua, la Terra, la Tela? ? Antiche Carceri Sistine;Palazzo Comunale;Piazza Umberto I;12;MONTALTO DELLE MARCHE;0736828015;com.montalto@provincia.ap.it;;Arte;Archeologia;42.9873;13.6073;"in inverno sab e dom h15-17 e la matt su richiesta; in estate h 17-19 e 16-24 in occasione di feste";E' aperto su richiesta anche in giorni diversi da quelli indicati sopra;
;;Musei della Cartiera Papale - ll processo produttivo della carta ? Museo naturalistico ?A. Orsini? ? Raccolta delle incisioni ?N. Gulino?;;Via della Cartiera;1;ASCOLI PICENO;0736/277548;museidellacartiera@provincia.ap.it;http://www.provincia.ap.it;Scienza e tecnica;Storia naturale e scienze naturali;42.8495;13.5699;Sabato/domenica/festivi dalle 16 alle 19 (inverno), dalle 17 alle 20 (estate).;Il museo � sempre aperto nei gioni festivi.;"prezzo intero: 4 ?; prezzo ridotto: 2 ?"
;;"Museo ""A. Colocci""";Palazzo Colocci;Piazza Colocci;SNC;JESI;;;http://www.comune.jesi.an.it;Arte;Storia;43.5234;13.2444;MUSEO CHIUSO;MUSEO CHIUSO;
;;Museo Antropogeografico;Complesso di San Francesco;Largo Leopardi;1;AMANDOLA;0736/848598;chirocef@tin.it;http://www.sibillini.net;Etnografia e antropologia;Territoriale;42.9803;13.3601;"Mercoled�-venerd�: 9.30-12.30; sabato- domenica: 9.30-12.30/15.30-18.30Luglio/agosto tutti i giorni: 10-12.30/16.30-19. A luglio chiuso il luned�.";;"prezzo intero: 3 ?; prezzo ridotto: 2 ?"
;;"Museo Archeologico e della Via Flaminia ""G. C. Corsi"". Museo Geo Territoriale.";Ex Convento Chiesa di Sant'Agostino;Via IV Novembre;22;CANTIANO;0721/788493, 0721/788484;"museocantiano@comune.cantiano.pu.it; info@museo-cantiano.it";http://www.museo-cantiano.it;Archeologia;Territoriale;43.474;12.6283;Tranne il mese di agosto, domenica e festivi: 15/18, agosto tutti i giorni: 16/19.;Il 17 e 18 novembre in occasione della mostra del Tartufo Bianco apertura 15-18.;Intero: ? 1
;;Museo Archeologico ?Muccia:  antico crocevia dell?Appennino?;Chiesa di S.Maria di Varano - Muccia;Contrada Varano;;MUCCIA;0737/646135;comune@muccia.sinp.net;http://www.archeologia.muccia.sinp.net;Archeologia;;43.0801;13.051;apertura su richiesta;Luned� chiuso;Ingresso a pagamento
;;Museo Archeologico Statale;;Traversa Piccinini;12;URBISAGLIA;0733.50107;comune@urbisaglia.sinp.net;"http://www.urbisaglia.sinp.net; www.archeomarche.it";Archeologia;;43.1929;13.3738;"luned�, mercoled�, venerd� 13.30-19.30; marted�, gioved�, sabato 8.30-13.30; domenica e festivi 8.30-13.30";;Ingresso gratuito
;;Museo Archeologico Statale;palazzo Panichi;piazza Arringo;28;ASCOLI PICENO;0735.253562;SOPRIN1e@archeomarcheancona.191.it;http://www.archeomarche.it;Archeologia;;42.8537;13.5782;"aperto dal marted� alla domenica 8.30-19.30; chiuso tutti i luned� non festivi, 1 gennaio, 1 maggio, 25 dicembre.";Si avvisa il pubblico che sono in fase di ristrutturazione definitiva, e quindi momentaneamente chiuse, sia la sezione protostorica (civilt� picena), sia la sezione preistorica.;"Intero ? 2; ridotto ? 1 dai 18 ai 25 anni e Circuito Musei Civici; gratuito under 18-over 65 e categorie previste nei musei statali"
;;Museo Beltrami;Palazzo Beltrami Luchetti;Vicolo Beltrami;2;FILOTTRANO;071.2072828;"info@museiluchettigentiloni.com ; marzialuchetti@libero.it";http://www.museiluchettigentiloni.com;Etnografia e antropologia;;43.4357;13.3505;su appuntamento;;
;;"Museo ""B. Gigli"" e Museo della chitarra";Teatro Giuseppe Persiani;Corso Cavour;s.n.c.;RECANATI;071/7579445;spaziocultura@virgilio.it;;Specializzato;;43.4026;13.5494;"Dal Marted� alla Domenica. Giugno - Settembre: 10/13 - 15/18; Luglio e Agosto: 10/13 - 15/19.";;"Intero: 2,5 ?; ridotto: 1,5 ?"
;;"Museo-Biblioteca ""Francesco Antonio Marcucci""";Istituto Suore Pie Operaie dell?Immacolata Concezione;via San Giacomo;3;ASCOLI PICENO;0736 259952;;;Arte;;42.8568;13.5705;Dal 1 al 31 Luglio tutti i giorni dalle 15.00 alle 19.00, tutto l?anno su richiesta.;;
;;"Museo ""CAM - Complesso Agostiniano Montecosaro"" - Museo d'Arte antica ""Sergio Graziosi"" - Pinacoteca ""Graziosi-Peschi"" - Museo del Fossile - Collezione opere grafiche di G. De Chirico e M. Maccari";;via E. Gatti;3;MONTECOSARO;0733/560711;comune.montecosaro.mc@libero.it;http://www.comune.montecosaro.mc.it;Arte;Archeologia;43.317;13.6353;"periodo estivo e festivit�:10.30-12.30/16.30-18.30 lun. chiuso; resto dell'anno: sab/dom: 16.30-18.30";;
;;Museo Civico;Convento San Francesco;Piazza Marconi;2;MONSAMPOLO DEL TRONTO;0735/704116;urbanistica@comune.monsampolodeltronto.ap.it;http://www.comune.monsampolodeltronto.ap.it;Arte;;42.8987;13.7913;Servizio su richiesta e a richiesta con orari prestabiliti.Chiuso per inagibilit� nel 2009.;Il servizio �  gratuito.Chiuso nel 2009 per inagibilit�.;
;;Museo Civico Archeologico;Palazzo Comunale;Piazza Matteotti;8;CARASSAI;0734.919002;info@comune.carassai.ap.it;;Archeologia;;43.0321;13.6843;"Da 1/2/2012 a 10/6/2012 e da 17/9/2012 A 31/10/2012: mar 16.30-19.30; mer 10-12, 15.30-19.30; sab e dom 14-19.30. Da 11/06/2012 a 16/09/2012: mar mer ven sab e dom: 17-19.30, 21-22.30";Apre anche a richiesta a cura dell'Archeoclub di Carassai in giorni e orari diversi da quelli indicati sopra (per scuole e turisti);
;;"Museo Civico - Storico -  Ambientale del fiume Metauro -""Winston Churchill""";;Via Roma;SNC;MONTEMAGGIORE AL METAURO;0721895312;comune.montemaggiore@provincia.ps.it;http://comune.montemaggiore.pu.it;Storia;;43.7369;12.9468;dalle 09:00 alle 12:00 ogni sabato;;ingresso gratuito
;;"Museo Civico ""U. Bottacchiari""";Palazzo Comunale;Piazza della Repubblica;12;CASTELRAIMONDO;0737.641723;;www.comune.castelraimondo.mc.it;Specializzato;;43.2101;13.0575;aperto su prenotazione;;
;;"Museo d?Arte Immanente ""Villa Papi""";;Via Valle Romana;21;ARQUATA DEL TRONTO;0736/809556;segreteria@comune.arquatadeltronto.ap.it;www.arteimmanente.com;Arte;;42.7722;13.2965;9/18 tutti i giorni;Il proprietario � disponibile anche in orari diversi da quello riferito;
;;Museo degli antichi mestieri;;Via Guerrieri;15;MASSA FERMANA;0734 760108;info@comunemassafermana.it;;Scienza e tecnica;Etnografia e antropologia;43.1503;13.4758;Tutti i giorni su richiesta.;;
;;Museo dei Colori Naturali;Abbazia Benedettina di S. Michele Arcangelo, Lamoli di Borgo Pace;via dell'Abbazia;7;BORGO PACE;0722/80133;lamoli@oasisanbenedetto.it;http://www.oasisanbenedetto.it/museocolori.htm;Specializzato;Scienza e tecnica;43.6226;12.2562;Sab. dom. e fes. Lug. Ago. 10.00-13.00 e 15.00-18.00. Altri giorni da mar. e dic. su richiesta.;Essendo gestito dall'albergo di cui fa parte � facilmente visitabile a tutte le ore.;a pagamento.
;;Museo dei fossili;Palazzo Montalto Nannerini;Piazzale Marconi;16;SANT'ELPIDIO A MARE;0734.859811;ppierleoni1950@libero.it;;Storia naturale e scienze naturali;;43.2323;13.6825;Tutto l'anno su richiesta.;"Apertura: in occasione delle Feste di contrada e durante ""Citt� medievo"".";Ingresso gratuito
;;Museo dei Fossili e dei minerali;ex Scuola Elementare;via A. C. Nobili;11;SMERILLO;0734.79423;info@smerillo.com;http://www.smerillo.com;Storia naturale e scienze naturali;;43.0044;13.445;Luglio - agosto: sabato e domenica 10.30-12.30, 16-18. Gruppi su prenotazione.;;Ingresso gratuito
;;Museo dei Fossili e Minerali del monte Nerone;;via XX  Settembre;25;APECCHIO;0722.989005;info@comune.apecchio.ps.it;http://www.comune.apecchio.ps.it;Storia naturale e scienze naturali;Archeologia;43.5585;12.4193;"Luglio-7 ottobre: marted�-venerd� 10.30-12.30, 16.30-18.30; festivi e prefestivi: 16-19; 7 ottobre-30 giugno: festivi e prefestivi 10.30-12.30, 16.30-18.30; altri giorni a richiesta.";;ingresso gratuito
;;Museo dei Gessi;;via del Balestriere;2;URBINO;0722.320534;;www.uniurb.it;Archeologia;;43.7272;12.6358;Dal Luned� al Venerd� dalle 9.00 alle 18.30 e il Sabato dalle 9.00 alle 13.00;propriet� pubblica;chiuso per restauri
;;Museo dei Legni Processionali;Santuario Madonna della Misericordia;Piazza San Martino;1;PETRIOLO;0733.550603 (Parrocchia) - 0733.550601 (Comune);;www.fermo.chiesainrete.it/petrioloconfraternita;Arte;;43.2212;13.4658;apertura: Festivi e Sabato dalle 15.00 alle 19.00, la Domenica dalle 9.30 alle 12.30 e dalle 15.00 alle 19.00. Giorni feriali a richiesta;;Ingresso gratuito
;;Museo dei Mestieri in bicicletta;;Via Gioberti;;FABRIANO;0732.251810;fabriano@uisp.it;www.mestieriinbicicletta.it;Specializzato;;43.3342;12.9044;dal marted� alla domenica 10 -12.30/ 15.30 - 18.30;;"Intero: 2,50 ?; ridotto: 2 ?; scolaresche: 1,50?"
;;Museo dei Reperti Fossili;Palazzo ex Governo;Piazza Enrico Mattei;17;MATELICA;0737 781830;biblioteca@comune.matelica.mc.it;http://ww.comune.matelica.mc.it;Storia naturale e scienze naturali;;43.2564;13.0086;l'apertura nei mesi di marzo-giugno legata soprattutto a visite scolastiche su appuntamento;i giorni festivi come riportato sopra � aperto solo su appuntamento;
;;Museo del Biroccio Marchigiano;Palazzo Beltrami Luchetti;Vicolo Beltrami;2;FILOTTRANO;071.2072828;info@museiluchettigentiloni.com;http://www.museiluchettigentiloni.com;Etnografia e antropologia;;43.4358;13.3507;su appuntamento.;;
;;Museo del Cappello;;Borgo XX settembre;45;MONTAPPONE;0734/760379;info@ilcappellodipaglia.it;http://ilcappellodipaglia.it;Specializzato;;43.1371;13.4696;Apertura su richiesta;;Ingresso gratuito
;;Museo del Cappello di Paglia;Palazzo Orologio;Via Guerrieri;1;MASSA FERMANA;0736.760099;;http://www.museodelcappello.it;Specializzato;;43.1503;13.4755;Apertura su richiesta;;
;;Museo del Carbonaio ? Centro di Educazione ambientale;Ex Conceria - Borgo Pace;Localit� Le Conce;SNC;BORGO PACE;0722/816048;turismo@comune.borgo-pace.ps.it;;Etnografia e antropologia;Storia naturale e scienze naturali;43.6586;12.2961;Aperto solo su richiesta;;gratuito
;;Museo del Cardinal Gasparri;Palazzo Comunale;piazza XI Febbraio;5;USSITA;0737/971211;comune@ussita.sinp.net;http://www.ussita.sinp.net;Storia;;42.944;13.1388;Apertura su richiesta;;Ingresso gratuito
;;Museo del Convento di Santa Chiara;Monastero di Santa Chiara;Via Medici;20;CAMERINO;0737/633305;clarissecamerino@tiscali.it;http://www.sorellepoveredisantachiara.it;Arte;Storia;43.1391;13.0729;dal luned� alla domenica  dalle 10:00 alle  12:00 e dalle 15:30 alle 17:30 (su prenotazione);il numero delle ore di apertura non � quantificabile perch� dipende dalle richieste dei visitatori;Ingresso gratuito
;;Museo del Fungo;Loc. San Sisto;;;PIANDIMELETO;0722.75350 - 0722.721121;info@museimontefeltro.it;"http://www.museimontefeltro.it; http://www.comune.piandimeleto.pu.it";Storia naturale e scienze naturali;;43.7493;12.3552;Su richiesta;;ingresso gratuito
;;Museo del Gabinetto di Fisica dell?Universit�;;Piazza della Repubblica;3;URBINO;07224146;flavio.vetrano@uniurb.it;http://www.uniurb.it/physlab/museum.html;Specializzato;;43.7263;12.6364;da luned� a gioved� 9-13 15-19 e venerd� 9-13;;gratuito
;;Museo dell?Abbazia di San Salvatore;Parrocchia San Salvatore;Localit� Monastero;;CESSAPALOMBO;0733.907132 (comune);;www.comune.cessapalombo.mc.it;Archeologia;;43.0658;13.2325;;;
